Genes	Transcription Units	Pathways of gene	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Names
G185E-6192	TU185E-6190		GO:0044003 // GO:0090502 // GO:0090501 // GO:0090305 // GO:0045927 // GO:0045926 // GO:0016075 // GO:0006402	GO:0005886 // GO:0005576	GO:0004521 // GO:0016787 // GO:0005515 // GO:0004540 // GO:0004519 // GO:0004518 // GO:0003677	mazF6 // mt3 // Rv1991c
G185E-6268	TU185E-6226		GO:0044003 // GO:0016075 // GO:0006402 // GO:0090502 // GO:0090305 // GO:0045926 // GO:0017148		GO:0016787 // GO:0005515 // GO:0004521 // GO:0004519 // GO:0004518 // GO:0003677	mazF7 // Rv2063A
G185E-6491	TU185E-6337		GO:0090305		GO:0016787 // GO:0004519 // GO:0004518	mazF8 // Rv2274c
G185E-7050	TU185E-6627		GO:0044003 // GO:0016075 // GO:0090502 // GO:0090305 // GO:0045926 // GO:0006402		GO:0016787 // GO:0005515 // GO:0004521 // GO:0004519 // GO:0004518 // GO:0003677	mazF9 // mt1 // Rv2801c
G185E-5180	TU185E-5698	PWY-7211 // PWY0-166 // PWY-7184 // PWY-7187 // PWY-6545 // PWY-7206	GO:0051289 // GO:0046081 // GO:0046076 // GO:0046061 // GO:0046052 // GO:0046047 // GO:0006979 // GO:0006203	GO:0005829 // GO:0005618	GO:0047429 // GO:0047693 // GO:0046872 // GO:0035539 // GO:0016787 // GO:0005524 // GO:0000287 // GO:0000166	mazG // Rv1021
G185E-6610	TU185E-6407	PWY185E-1	GO:0019290 // GO:0019540 // GO:0010106	GO:0005829	GO:0016878 // GO:0016779 // GO:0016740 // GO:0005524 // GO:0000166 // GO:0016881 // GO:0016874 // GO:0008668	mbtA // Rv2384
G185E-6609	TU185E-6406	PWY185E-1	GO:0052572 // GO:0019540 // GO:0010106 // GO:0009058 // GO:0008152 // GO:0006633	GO:0005737 // GO:0005829 // GO:0005886 // GO:0005618	GO:0031177 // GO:0016874 // GO:0016788 // GO:0005515 // GO:0003824 // GO:0000036	mbtB // Rv2383c
G185E-6608	TU185E-6406	PWY185E-1	GO:0006633 // GO:0071770 // GO:0040007	GO:0005737 // GO:0005886	GO:0004312 // GO:0016746 // GO:0016740	mbtC // Rv2382c
G185E-6607	TU185E-6406	PWY185E-1	GO:0006631 // GO:0006629	GO:0005886	GO:0016740 // GO:0031177	mbtD // Rv2381c
G185E-6606	TU185E-6405	PWY185E-1	GO:0008610 // GO:0044550 // GO:0043041	GO:0005737 // GO:0005829	GO:0031177 // GO:0003824	mbtE // Rv2380c
G185E-6605	TU185E-6405	PWY185E-1	GO:0008610 // GO:0044550 // GO:0043041	GO:0005737 // GO:0005886 // GO:0005829 // GO:0005618	GO:0031177 // GO:0003824	mbtF // Rv2379c
G185E-6604	TU185E-6405	PWY185E-1	GO:0040007 // GO:0019540		GO:0047091 // GO:0016491 // GO:0004497	mbtG // Rv2378c
G185E-6603	TU185E-6404	PWY185E-1	GO:0019290	GO:0005829		mbtH // Rv2377c
G185E-6612	TU185E-7393	PHESYN // PWY-5837 // PWY-6406	GO:0000162 // GO:0052572 // GO:0040007 // GO:0019540 // GO:0010106 // GO:0009697 // GO:0009058	GO:0005950 // GO:0005829 // GO:0005886	GO:0004049 // GO:0046872 // GO:0043904 // GO:0016853 // GO:0016833 // GO:0016829 // GO:0008909 // GO:0004106 // GO:0000287	mbtI // trpE2 // Rv2386c
G185E-6611	TU185E-6408			GO:0005829	GO:0016787 // GO:0004806	mbtJ // lipK // Rv2385
G185E-5526	TU185E-7529	PWY185E-1	GO:0019290 // GO:0040007 // GO:0019540		GO:0034069 // GO:0047617 // GO:0016747 // GO:0016746 // GO:0016740 // GO:0016410	mbtK // Rv1347c
G185E-5523	TU185E-5876		GO:0009245 // GO:0019540 // GO:0006633	GO:0005829 // GO:0005737	GO:0031177 // GO:0000035 // GO:0005515 // GO:0000036	mbtL // Rv1344
G185E-5524	TU185E-5876	PWY185E-1	GO:0008610 // GO:0006633 // GO:0051701	GO:0005886	GO:0070566 // GO:0016874 // GO:0008922 // GO:0005524 // GO:0000166	mbtM // fadD33 // Rv1345
G185E-5525	TU185E-5876	PWY185E-1	GO:0019540	GO:0005886 // GO:0005829	GO:0050660 // GO:0016631 // GO:0016627 // GO:0016491	mbtN // fadE14 // Rv1346
G185E-5244	TU185E-5738	PWY1G-1	GO:0010125 // GO:0052559 // GO:0010127 // GO:0010126	GO:0005886 // GO:0005829	GO:0016810 // GO:0016811 // GO:0008270 // GO:0046872 // GO:0016787	mca // Rv1082
G185E-4287	TU185E-5249		GO:0085014 // GO:0044409 // GO:0044406 // GO:0051701 // GO:0042785 // GO:0007157	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0008017 // GO:0003779	mce1A // mce1 // Rv0169
G185E-4288	TU185E-5249		GO:0051701	GO:0005618 // GO:0016021 // GO:0016020 // GO:0005829 // GO:0005886 // GO:0005576		mce1B // mceD // Rv0170
G185E-4289	TU185E-5249		GO:0051701	GO:0005618 // GO:0005576		mce1C // Rv0171
G185E-4290	TU185E-5249		GO:0051701	GO:0016021 // GO:0016020 // GO:0005618 // GO:0005576		mce1D // Rv0172
G185E-4292	TU185E-5249		GO:0051701	GO:0009274 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576		mce1F // Rv0174
G185E-4283	TU185E-7694		GO:0052562 // GO:0006355		GO:0003700 // GO:0003677	mce1R // Rv0165c
G185E-4723	TU185E-5465		GO:0051701	GO:0005618 // GO:0005576 // GO:0016021 // GO:0016020		mce2A // mce2 // Rv0589
G185E-4724	TU185E-5465		GO:0051701	GO:0005618 // GO:0005576 // GO:0016021 // GO:0016020 // GO:0005886		mce2B // Rv0590
G185E-4726	TU185E-5465		GO:0051701	GO:0005618 // GO:0005576		mce2C // Rv0591
G185E-4727	TU185E-5465		GO:0051701	GO:0005618 // GO:0005576		mce2D // Rv0592
G185E-4729	TU185E-5465		GO:0051701	GO:0005618 // GO:0016021 // GO:0016020 // GO:0005576		mce2F // Rv0594
G185E-4720	TU185E-5465		GO:0052572 // GO:0045892 // GO:0006355	GO:0032993 // GO:0005829	GO:0043565 // GO:0003700 // GO:0003677	mce2R // Rv0586
G185E-6165	TU185E-6176		GO:0051701	GO:0005618 // GO:0005576 // GO:0016021 // GO:0016020		mce3A // mce3 // Rv1966
G185E-6166	TU185E-6176		GO:0051701	GO:0005618 // GO:0005576 // GO:0016021 // GO:0016020 // GO:0005886		mce3B // Rv1967
G185E-6167	TU185E-6176		GO:0051701	GO:0005618 // GO:0005576		mce3C // Rv1968
G185E-6168	TU185E-6176		GO:0051701	GO:0005576 // GO:0005618		mce3D // Rv1969
G185E-6170	TU185E-6176		GO:0051701	GO:0005618 // GO:0005576 // GO:0016021 // GO:0016020		mce3F // Rv1971
G185E-6162	TU185E-6175		GO:0016042 // GO:0006629 // GO:0045892 // GO:0040007 // GO:0019216 // GO:0006355	GO:0005829	GO:0000976 // GO:0003700 // GO:0003677	mce3R // Rv1963c
G185E-7776	TU185E-6968		GO:0051701	GO:0016020 // GO:0016021 // GO:0005618 // GO:0005576		mce4A // mce4 // Rv3499c
G185E-7775	TU185E-6968		GO:0051701	GO:0005618 // GO:0005576 // GO:0016021 // GO:0016020		mce4B // Rv3498c
G185E-7774	TU185E-6968		GO:0051701	GO:0016020 // GO:0016021 // GO:0005618 // GO:0005576 // GO:0005886		mce4C // Rv3497c
G185E-7773	TU185E-6968		GO:0051701	GO:0005618 // GO:0005576		mce4D // Rv3496c
G185E-7771	TU185E-6968		GO:0051701	GO:0016020 // GO:0016021 // GO:0005618 // GO:0005576		mce4F // Rv3494c
G185E-5310	TU185E-5773	PWY-6947 // PWY-6946	GO:0006629 // GO:0006637	GO:0005829	GO:0016853 // GO:0008410 // GO:0042803 // GO:0008111 // GO:0003824	mcr // Rv1143
G185E-5325	TU185E-7555					mcr10
G185E-5436	TU185E-7536					mcr11 // MTS0997
G185E-5544	TU185E-5887					mcr15
G185E-6459	TU185E-7407					mcr16
G185E-4614	TU185E-5410					mcr19
G185E-5490	TU185E-5861					mcr3 // mpr7
G185E-6385	TU185E-6282					mcr5
G185E-6622	TU185E-6413					mcr7
G185E-5889	TU185E-6032		GO:0055070 // GO:0055085 // GO:0006811	GO:0046930 // GO:0016021 // GO:0016020 // GO:0009279	GO:0015288	mctB // Rv1698
G185E-5411	TU185E-5820	GLYOXYLATE-BYPASS // GLUCONEO-PWY // PWY-6969	GO:0006734 // GO:0006107 // GO:0019752 // GO:0006108 // GO:0006099 // GO:0005975	GO:0005886 // GO:0005829 // GO:0005618	GO:0030060 // GO:0016616 // GO:0016615 // GO:0016491 // GO:0003824	mdh // Rv1240
G185E-5513	TU185E-5874	PWY-7289	GO:0019344 // GO:0008652 // GO:0006508	GO:0005829	GO:0140492 // GO:0070122 // GO:0046872 // GO:0016787 // GO:0008270 // GO:0008237 // GO:0008235 // GO:0008233	mec // Rv1334
G185E-4667	TU185E-5436	PWY-5851	GO:0042371 // GO:0032194 // GO:0009234	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0016765 // GO:0046428 // GO:0016740 // GO:0004659	menA // Rv0534c
G185E-4681	TU185E-5443	PWY-5837	GO:0034214 // GO:0009234	GO:0005829 // GO:0005886	GO:0016829 // GO:0008935 // GO:0003824	menB // Rv0548c
G185E-4686	TU185E-5446	PWY-5837	GO:0040007 // GO:0009234	GO:0005829	GO:0043748 // GO:0046872 // GO:0016836 // GO:0016829 // GO:0000287	menC // Rv0553
G185E-4688	TU185E-5447	PWY-5837	GO:0040007 // GO:0009234	GO:0005886	GO:0030145 // GO:0000287 // GO:0070204 // GO:0046872 // GO:0030976 // GO:0016740	menD // Rv0555
G185E-4675	TU185E-5440	PWY-5837	GO:0040007 // GO:0009234		GO:0016874 // GO:0008756 // GO:0005524 // GO:0000166	menE // Rv0542c
G185E-4691	TU185E-5448	PWY-5844	GO:0040007 // GO:0032259 // GO:0009234	GO:0005829 // GO:0005886	GO:0102027 // GO:0102094 // GO:0043770 // GO:0102955 // GO:0016740 // GO:0008168	menH // menG // ubiE // Rv0558
G185E-4694	TU185E-5449	PWY-7993	GO:0009234	GO:0005618	GO:0016627 // GO:0071949 // GO:0016628 // GO:0016491	menJ // Rv0561c
G185E-7904	TU185E-7026		GO:0006400 // GO:0040007 // GO:0008033	GO:0005829 // GO:0005737	GO:0016879 // GO:0016874 // GO:0005524 // GO:0000166	mesJ // Rv3625c
G185E-7441	TU185E-7291			GO:0005829	GO:0016787	mesT // lipS // Rv3176c
G185E-5241	TU185E-5735	PWY-I9	GO:0019346 // GO:0019343 // GO:0019279 // GO:0009086 // GO:0008652	GO:0005829 // GO:0005886 // GO:0005737	GO:0102028 // GO:0016846 // GO:0030170 // GO:0016740 // GO:0004123 // GO:0003962 // GO:0003824	metB // Rv1079
G185E-7616	TU185E-6884	PWY-5345 // HSERMETANA-PWY // PWY-5344	GO:0009086 // GO:0019346 // GO:0071266 // GO:0006520	GO:0005829	GO:0016740 // GO:0004124 // GO:0003961 // GO:0030170 // GO:0016829 // GO:0016765 // GO:0003824	metC // Rv3340
G185E-5299	TU185E-7563	PWY-5345 // HSERMETANA-PWY // PWY-5041	GO:0050667 // GO:0040007 // GO:0032259 // GO:0009086 // GO:0008652	GO:0005886 // GO:0005829 // GO:0005618 // GO:0005576	GO:0046872 // GO:0016740 // GO:0008705 // GO:0008270 // GO:0008168 // GO:0003871	metE // Rv1133c
G185E-6330	TU185E-7429	PWY-5041 // PWY-5345 // HSERMETANA-PWY // 1CMET2-PWY	GO:0044237 // GO:0042558 // GO:0032259 // GO:0009086 // GO:0008652	GO:0005886 // GO:0005829 // GO:0005618	GO:0046872 // GO:0031419 // GO:0016740 // GO:0008705 // GO:0008270 // GO:0008168	metH // Rv2124c
G185E-5575	TU185E-5900	PWY-I9 // SAM-PWY // METHIONINE-DEG1-PWY // PWY-5041	GO:0040007 // GO:0006730 // GO:0006556	GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0000287 // GO:0035375 // GO:0046872 // GO:0016740 // GO:0005524 // GO:0004478 // GO:0000166	metK // Rv1392
G185E-5165	TU185E-7576	TRNA-CHARGING-PWY	GO:0040007 // GO:0006431 // GO:0006418 // GO:0006412	GO:0005829 // GO:0005886 // GO:0005737	GO:0016874 // GO:0005524 // GO:0004825 // GO:0004812 // GO:0000166	metS // Rv1007c
G185E-4775	TU185E-5493	PWY0-1479 // TRNA-CHARGING-PWY				metT
G185E-7458	TU185E-6808	PWY0-1479 // TRNA-CHARGING-PWY				metU
G185E-6531	TU185E-6362	PWY0-1479 // TRNA-CHARGING-PWY				metV
G185E-7617	TU185E-6884	PWY-5345 // HSERMETANA-PWY // PWY-5344	GO:0009058 // GO:0040007 // GO:0009092 // GO:0009086 // GO:0008652	GO:0005829 // GO:0005886 // GO:0005737	GO:0016747 // GO:0016746 // GO:0016740 // GO:0004414	metX // metA // Rv3341
G185E-4515	TU185E-5357		GO:0019343 // GO:0071266 // GO:0019346 // GO:0071268 // GO:0009086 // GO:0008652	GO:0005737 // GO:0005829	GO:0016846 // GO:0016765 // GO:0004123 // GO:0003962 // GO:0030170 // GO:0016740 // GO:0003824	metZ // Rv0391
G185E-6557	TU185E-6376	GLYOXYLATE-BYPASS // PWY-6969 // GLUCONEO-PWY // PWY-7686	GO:0006090 // GO:0006108	GO:0005829	GO:0051287 // GO:0046872 // GO:0016491 // GO:0008948 // GO:0004471 // GO:0004470	mez // Rv2332
G185E-5179	TU185E-5698		GO:0006355 // GO:0000716 // GO:0006974 // GO:0006281	GO:0005886 // GO:0005829 // GO:0005737	GO:0043175 // GO:0015616 // GO:0016787 // GO:0005524 // GO:0004386 // GO:0003684 // GO:0003677 // GO:0003676 // GO:0000166	mfd // trcF // Rv1020
G185E-7637	TU185E-6898					mfpA // Rv3361c
G185E-4836	TU185E-5524	PWY-8122				mftB // Rv0692
G185E-4837	TU185E-5524	PWY-8122		GO:0005829 // GO:0005886	GO:0016829 // GO:0016491 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016740 // GO:0003824	mftC // Rv0693
G185E-4838	TU185E-5524	PWY-8122	GO:0019516	GO:0005829 // GO:0005886	GO:0004459 // GO:0016491 // GO:0010181 // GO:0003824	mftD // lldD1 // Rv0694
G185E-4839	TU185E-5525	PWY-8122	GO:0006508 // GO:0009231		GO:0008233 // GO:0016811 // GO:0046872 // GO:0016787	mftE // Rv0695
G185E-4840	TU185E-5526	PWY-8122		GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829	GO:0016757 // GO:0016740	mftF // Rv0696
G185E-4690	TU185E-5448		GO:0097502 // GO:0009247 // GO:0046488 // GO:0040007 // GO:0008654 // GO:0006629	GO:0005829	GO:0016758 // GO:0000030 // GO:0016757 // GO:0016740	mgtA // mtfB // Rv0557
G185E-6006	TU185E-6099			GO:0005886 // GO:0016021 // GO:0016020		mgtC // Rv1811
G185E-4486	TU185E-5341		GO:1903830 // GO:0098655 // GO:0015693 // GO:0006812	GO:0016021 // GO:0016020 // GO:0005886	GO:0046872 // GO:0015095 // GO:0008324 // GO:0005215	mgtE // Rv0362
G185E-7746	TU185E-6956		GO:0009098	GO:0005829	GO:0003852 // GO:0046872 // GO:0016829 // GO:0008948 // GO:0003824	mhpE // Rv3469c
G185E-7870	TU185E-7010	PWY-7848	GO:0042167	GO:0005886 // GO:0005618	GO:0046872 // GO:0020037 // GO:0016491 // GO:0004497 // GO:0004392	mhuD // TB11.2 // Rv3592
G185E-6975	TU185E-6589		GO:0006400 // GO:0040007 // GO:0008033	GO:0005829	GO:0052381 // GO:0016740 // GO:0005524 // GO:0000166	miaA // Rv2727c
G185E-5571	TU185E-5897		GO:0040007	GO:0005886 // GO:0005829 // GO:0005618		mihF // Rv1388
G185E-4798	TU185E-5503		GO:0070508	GO:0005886 // GO:0005618	GO:0016887 // GO:0005524 // GO:0000166 // GO:0005215	mkl // Rv0655
G185E-5092	TU185E-7591		GO:0051351 // GO:0006974 // GO:0006310 // GO:0006303 // GO:0006281	GO:0033202 // GO:0005829	GO:0005515 // GO:0042803 // GO:0003690 // GO:0003677	mku // Rv0937c
G185E-4788	TU185E-5499	PWY-6113 // PWYG-321	GO:0071768 // GO:0032259 // GO:0008610 // GO:0006629	GO:0005829	GO:0016859 // GO:0016740 // GO:0008168 // GO:0005515	mmaA1 // Rv0645c
G185E-4787	TU185E-5499	PWY-6113 // PWYG-321 // PWY0-541	GO:0071768 // GO:0032259 // GO:0008610 // GO:0006629	GO:0005829 // GO:0005886 // GO:0005618	GO:0016740 // GO:0008825 // GO:0008168 // GO:0005515	mmaA2 // Rv0644c
G185E-4786	TU185E-5499	PWY-6113 // PWYG-321	GO:0071768 // GO:0032259 // GO:0008610 // GO:0006629	GO:0005829 // GO:0005886	GO:0016740 // GO:0008171 // GO:0008168 // GO:0005515	mmaA3 // Rv0643c
G185E-4785	TU185E-5499	PWY-6113 // PWYG-321	GO:0071768 // GO:0032259 // GO:0008610 // GO:0006629	GO:0005829 // GO:0005886 // GO:0005618	GO:0016740 // GO:0008757 // GO:0008168 // GO:0005515	mmaA4 // Rv0642c
G185E-5000	TU185E-7604		GO:0000302 // GO:0010273	GO:0030288 // GO:0042597 // GO:0016020 // GO:0005886	GO:0046872 // GO:0016491 // GO:0005507 // GO:0004322	mmcO // Rv0846c
G185E-4527	TU185E-5362			GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0005215	mmpL1 // Rv0402c
G185E-5352	TU185E-5791		GO:0006869	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0005618 // GO:0005576	GO:0005215	mmpL10 // Rv1183
G185E-4322	TU185E-5264			GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0005618	GO:0005215	mmpL11 // Rv0202c
G185E-5710	TU185E-7504		GO:0052572	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0005618	GO:0005215	mmpL12 // Rv1522c
G185E-5312	TU185E-5774			GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0005215	mmpL13a // Rv1145
G185E-5313	TU185E-5774		GO:0052559	GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	GO:0005215	mmpL13b // Rv1146
G185E-4639	TU185E-5423		GO:0051701	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618	GO:0005215	mmpL2 // Rv0507
G185E-4326	TU185E-5265		GO:0046677 // GO:0071768 // GO:0042391 // GO:0034204 // GO:0071766 // GO:0071555 // GO:0040007 // GO:0015920 // GO:0006869	GO:0051286 // GO:0030428 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005618 // GO:0005576	GO:0019992 // GO:0035091 // GO:0008429 // GO:1901611 // GO:1901612	mmpL3 // Rv0206c
G185E-4575	TU185E-5383		GO:0051701 // GO:0040007	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0005215	mmpL4 // Rv0450c
G185E-4819	TU185E-5514			GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005829 // GO:0005576		mmpL5 // Rv0676c
G185E-5745	TU185E-5975		GO:0010033	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0005215	mmpL6 // Rv1557
G185E-7195	TU185E-6689		GO:0015908 // GO:0071555 // GO:0052572 // GO:0051701 // GO:0006869 // GO:0006855	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886		mmpL7 // Rv2942
G185E-8119	TU185E-7142		GO:0071555 // GO:0046506 // GO:0006869	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0005618	GO:0005215	mmpL8 // Rv3823c
G185E-6564	TU185E-7398		GO:0042783	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0005215	mmpL9 // Rv2339
G185E-4821	TU185E-7627				GO:0003677	mmpR5 // Rv0678
G185E-4528	TU185E-5362			GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576		mmpS1 // Rv0403c
G185E-4638	TU185E-5423			GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576		mmpS2 // Rv0506
G185E-6408	TU185E-6294			GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005618		mmpS3 // Rv2198c
G185E-4576	TU185E-5383			GO:0016021 // GO:0016020 // GO:0005886		mmpS4 // Rv0451c
G185E-4820	TU185E-5514			GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576		mmpS5 // Rv0677c
G185E-7326	TU185E-6754		GO:0055085 // GO:0046677	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0022857 // GO:0015562	mmr // emrE // Rv3065
G185E-4899	TU185E-5553	VALDEG-PWY	GO:0006574 // GO:0006573 // GO:0006210	GO:0005829 // GO:0005886	GO:0018478 // GO:0016620 // GO:0016491 // GO:0004491	mmsA // Rv0753c
G185E-4897	TU185E-5553	VALDEG-PWY	GO:0009083 // GO:0006574	GO:0005829	GO:0050661 // GO:0016616 // GO:0051287 // GO:0016491 // GO:0008442	mmsB // Rv0751c
G185E-6690	TU185E-6447		GO:0033528 // GO:0009086 // GO:0032259	GO:0005829	GO:0008898 // GO:0047150 // GO:0008270 // GO:0046872 // GO:0016740 // GO:0008168	mmuM // Rv2458
G185E-5079	TU185E-5645		GO:0071281 // GO:0070574 // GO:0030001 // GO:0071578 // GO:0071421 // GO:0034755 // GO:0006811	GO:0016021 // GO:0016020 // GO:0005886	GO:0046872 // GO:0015292 // GO:0015086 // GO:0015078 // GO:0005384 // GO:0046873 // GO:0015293	mntH // Mramp // Nramp // Rv0924c
G185E-7037	TU185E-6622		GO:0045892 // GO:0006355	GO:0005737 // GO:0005829	GO:0001217 // GO:0000976 // GO:0030145 // GO:0046983 // GO:0046914 // GO:0043565 // GO:0005515 // GO:0003700 // GO:0003677	mntR // sirR // Rv2788
G185E-7373	TU185E-6774	PWY-6823	GO:0040007 // GO:0006777	GO:0005829 // GO:0019008 // GO:0005886	GO:0061799 // GO:1904047 // GO:0061798 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016829 // GO:0005525 // GO:0003824 // GO:0000166	moaA1 // moaA // Rv3109
G185E-5023	TU185E-5615	PWY-6823	GO:0006777	GO:0005829 // GO:0019008 // GO:0005618	GO:0061799 // GO:1904047 // GO:0061798 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016829 // GO:0005525 // GO:0003824 // GO:0000166	moaA2 // Rv0869c
G185E-7374	TU185E-6774		GO:0006729		GO:0016829 // GO:0008124	moaB1 // moaB // Rv3110
G185E-5141	TU185E-5675			GO:0005829 // GO:0005886		moaB2 // Rv0984
G185E-7375	TU185E-6774	PWY-6823	GO:0052170 // GO:0040007 // GO:0006777	GO:0005829 // GO:0005576	GO:0061799 // GO:0016829	moaC1 // moaC // Rv3111
G185E-5018	TU185E-5613	PWY-6823	GO:0006777	GO:0005829	GO:0061799 // GO:0016829	moaC2 // Rv0864
G185E-7599	TU185E-6875	PWY-6823	GO:0006777	GO:0005829	GO:0061799 // GO:0016829	moaC3 // Rv3324c
G185E-7376	TU185E-6774		GO:0006777		GO:0000166	moaD1 // moaD // Rv3112
G185E-5022	TU185E-5615	PWY-6823				moaD2 // Rv0868c
G185E-7383	TU185E-6776	PWY-6823	GO:0032324 // GO:0006777	GO:0005829	GO:0030366 // GO:0016740	moaE1 // moaE // Rv3119
G185E-5020	TU185E-5613	PWY-6823	GO:0032324 // GO:0006777	GO:0005829	GO:0030366 // GO:0016740	moaE2 // Rv0866
G185E-7388	TU185E-6779		GO:0032324 // GO:0006355 // GO:0000160		GO:0003677	moaR1 // Rv3124
G185E-7598	TU185E-6875		GO:0032324 // GO:0006777	GO:0005829	GO:0030366	moaX // Rv3323c
G185E-6685	TU185E-6445	PWY-5964	GO:0019720 // GO:0006777	GO:0005829 // GO:0005886 // GO:0005737	GO:0016779 // GO:0070568 // GO:0061603 // GO:0046872 // GO:0016740 // GO:0005525 // GO:0003824 // GO:0000166	mobA // Rv2453c
G185E-6052	TU185E-6125		GO:0051701 // GO:0015689	GO:0030288 // GO:0016020 // GO:0005886	GO:0046872 // GO:0030973	modA // Rv1857
G185E-6053	TU185E-6125		GO:0055085 // GO:0015689	GO:0016021 // GO:0016020 // GO:0005886	GO:0022857 // GO:0015098	modB // Rv1858
G185E-6054	TU185E-6125		GO:0055085 // GO:0030001 // GO:0015689 // GO:0000041	GO:0016020 // GO:0005886	GO:0022857 // GO:0042888 // GO:0016887 // GO:0015412 // GO:0005524 // GO:0000166	modC // Rv1859
G185E-5151	TU185E-5682	PWY-6823	GO:0018315 // GO:0032324 // GO:0006777	GO:0005737 // GO:0005886 // GO:0005829	GO:0061598 // GO:0061599 // GO:0046872 // GO:0016740	moeA1 // moeA // Rv0994
G185E-4563	TU185E-5378	PWY-6823	GO:0018315 // GO:0032324 // GO:0006777	GO:0005829 // GO:0005737	GO:0061598 // GO:0061599 // GO:0046872 // GO:0016740	moeA2 // moeA3 // Rv0438c
G185E-7476	TU185E-6818	PWY-7289	GO:0018215 // GO:0042783 // GO:0019344 // GO:0008152	GO:0005737 // GO:0016021 // GO:0016020 // GO:0005829 // GO:0005618	GO:0016779 // GO:0016740 // GO:0008641 // GO:0008146 // GO:0005524 // GO:0003824 // GO:0000166	moeB1 // moeZ // Rv3206c
G185E-7380	TU185E-6776	PWY-6823	GO:0018215	GO:0005737 // GO:0005829	GO:0016740 // GO:0000166 // GO:0005524 // GO:0016779 // GO:0008641	moeB2 // moeB // Rv3116
G185E-6563	TU185E-6380		GO:0018215 // GO:0061504 // GO:0040007	GO:0005829	GO:0061503 // GO:0008641	moeW // Rv2338c
G185E-5871	TU185E-6025		GO:0071704	GO:0005829	GO:0046872 // GO:0051536 // GO:0003824	moeX // Rv1681
G185E-5535	TU185E-5881		GO:0018215 // GO:0061504	GO:0005886 // GO:0005829	GO:0061503 // GO:0016491 // GO:0008641	moeY // Rv1355c
G185E-5019	TU185E-5613	PWY-6823		GO:0005829		mog // Rv0865
G185E-5663	TU185E-5935		GO:0040007	GO:0005829 // GO:0005886 // GO:0005618	GO:0016887 // GO:0005524	moxR1 // moxR // Rv1479
G185E-7977	TU185E-7068			GO:0005618 // GO:0005829	GO:0016887 // GO:0005524	moxR2 // Rv3692
G185E-7429	TU185E-6791		GO:0019217	GO:0005829 // GO:0005618	GO:0016887 // GO:0005524	moxR3 // Rv3164c
G185E-6321	TU185E-7433		GO:0030682 // GO:0071732 // GO:0043335 // GO:0051409 // GO:0019941 // GO:0010499 // GO:0010498	GO:0022623 // GO:0005886 // GO:0005618 // GO:0000502	GO:0004176 // GO:0140035 // GO:0042802 // GO:0070628 // GO:0016887 // GO:0005524 // GO:0005515 // GO:0000166	mpa // Rv2115c
G185E-5878	TU185E-6030		GO:0006974 // GO:0006284 // GO:0006281		GO:0019104 // GO:0016787 // GO:0003905 // GO:0003824 // GO:0003677	mpg // Rv1688
G185E-6801	TU185E-6500					mpr11
G185E-6804	TU185E-6502					mpr12
G185E-7875	TU185E-7232					mpr17
G185E-7932	TU185E-7045					mpr18
G185E-5212	TU185E-5715					mpr5
G185E-5392	TU185E-5811					mpr6
G185E-5138	TU185E-5674		GO:0010446 // GO:0090034 // GO:0045893 // GO:0045892 // GO:0006950 // GO:0006355 // GO:0000160	GO:0032993 // GO:0005829 // GO:0005886 // GO:0005737 // GO:0005618	GO:0001216 // GO:0000976 // GO:0003700 // GO:0000156 // GO:0003677	mprA // Rv0981
