sample	tb_profiler_strain	mixed_strain
ERR502356	lineage4.6.2.2	no
ERR502357	lineage4.6.2.2	no
ERR502358	lineage4.6.2.2	no
ERR502359	lineage4.6.2.2	no
ERR502360	lineage4.6.2.2	no
ERR502361	lineage4.6.2.2	no
ERR502362	lineage4.6.2.2	no
ERR502363	lineage4.6.2.2	no
ERR502364	lineage4.6.2.2	no
ERR502365	lineage4.6.2.2	no
ERR502366	lineage4.6.2.2	no
ERR502367	lineage4.6.2.2	no
ERR502368	lineage4.6.2.2	no
ERR502369	lineage4.6.2.2	no
ERR502370	lineage4.6.2.2	no
ERR502371	lineage4.6.2.2	no
ERR502372	lineage4.6.2.2	no
ERR502373	lineage4.6.2.2	no
ERR502374	lineage4.6.2.2	no
ERR502375	lineage4.6.2.2	no
ERR502376	lineage4.6.2.2	no
ERR502377	lineage4.6.2.2	no
ERR502378	lineage4.6.2.2	no
ERR502379	lineage4.6.2.2	no
ERR502380	lineage4.6.2.2	no
ERR502381	lineage4.6.2.2	no
ERR502382	lineage4.6.2.2	no
ERR502383	lineage4.6.2.2	no
ERR502384	lineage4.6.2.2	no
ERR502385	lineage4.6.2.2	no
ERR502386	lineage4.6.2.2	no
ERR502387	lineage4.6.2.2	no
ERR502388	lineage4.6.2.2	no
ERR502389	lineage4.6.2.2	no
ERR502390	lineage4.6.2.2	no
ERR502391	lineage4.6.2.2	no
ERR502392	lineage4.6.2.2	no
ERR502393	lineage4.6.2.2	no
ERR502394	lineage4.6.2.2	no
ERR502395	lineage4.6.2.2	no
ERR502396	lineage4.6.2.2	no
ERR502397	lineage4.6.2.2	no
ERR502398	lineage4.6.2.2	no
ERR502399	lineage4.6.2.2	no
ERR502400	lineage4.6.2.2	no
ERR502401	lineage4.6.2.2	no
ERR502402	lineage4.6.2.2	no
ERR502403	lineage4.6.2.2	no
ERR502404	lineage4.6.2.2	no
ERR502405	lineage4.6.2.2	no
ERR502406	lineage4.6.2.2	no
ERR502407	lineage4.6.2.2	no
ERR502408	lineage4.6.2.2	no
ERR502409	lineage4.6.2.2	no
ERR502410	lineage4.6.2.2	no
ERR502411	lineage4.6.2.2	no
ERR502412	lineage4.6.2.2	no
ERR502413	lineage4.6.2.2	no
ERR502414	lineage4.6.2.2	no
